Segrellion_17 = {
	name = Rhaenys
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	female = yes
	sexuality = heterosexual

	martial = 4
	diplomacy = 10
	intrigue = 7
	stewardship = 8
	learning = 8
	prowess = 3

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_10
	mother = Segrellion_9

	trait = beauty_good_1
	trait = pure_blooded

	disallow_random_traits = yes

	8127.1.1 = { birth = yes }
	8142.1.1 = { add_spouse = Segrellion_12 }
}

Segrellion_18 = {
	name = Rhaegar
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	martial = 6
	diplomacy = 7
	intrigue = 6
	stewardship = 4
	learning = 5
	prowess = 8

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_12
	mother = Segrellion_17

	trait = beauty_good_3
	trait = pure_blooded

	disallow_random_traits = yes

	8143.1.1 = { birth = yes }
}

Segrellion_19 = {
	name = Valerion
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	martial = 12
	diplomacy = 7
	intrigue = 5
	stewardship = 7
	learning = 7
	prowess = 14

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_12
	mother = Segrellion_17

	trait = education_martial_4
	trait = physique_good_2
	trait = pure_blooded

	disallow_random_traits = yes

	8145.1.1 = { birth = yes }
	8165.1.1 = { add_spouse = Segrellion_20 }
}

Segrellion_20 = {
	name = Aemma
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	female = yes
	sexuality = heterosexual

	martial = 3
	diplomacy = 9
	intrigue = 5
	stewardship = 7
	learning = 7
	prowess = 2

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_12
	mother = Segrellion_17

	trait = beauty_good_1
	trait = pure_blooded

	disallow_random_traits = yes

	8150.1.1 = { birth = yes }
}

Segrellion_21 = {
	name = Aegon
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	martial = 11
	diplomacy = 7
	intrigue = 5
	stewardship = 7
	learning = 6
	prowess = 12

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_12
	mother = Segrellion_17

	trait = education_martial_4
	trait = physique_good_1
	trait = pure_blooded

	disallow_random_traits = yes

	8160.1.1 = { birth = yes }
	8181.1.1 = { add_spouse = Segrellion_22 }
	8196.1.1 = { add_spouse = IAF_Baratheon_Tyana_1 }
}

Segrellion_22 = {
	name = Samantha
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	female = yes
	sexuality = heterosexual

	martial = 4
	diplomacy = 8
	intrigue = 6
	stewardship = 7
	learning = 6
	prowess = 3

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_19
	mother = Segrellion_20

	trait = beauty_good_1
	trait = pure_blooded

	disallow_random_traits = yes

	8166.1.1 = { birth = yes }
	8195.1.1 = { death = yes }
}

Segrellion_23 = {
	name = Daeron
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	martial = 7
	diplomacy = 6
	intrigue = 5
	stewardship = 6
	learning = 6
	prowess = 7

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_21
	mother = Segrellion_22

	trait = pure_blooded

	disallow_random_traits = yes

	8182.1.1 = { birth = yes }
}

Segrellion_24 = {
	name = Aethan
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	martial = 6
	diplomacy = 6
	intrigue = 5
	stewardship = 6
	learning = 6
	prowess = 6

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_21
	mother = Segrellion_22

	trait = pure_blooded

	disallow_random_traits = yes

	8186.1.1 = { birth = yes }
}

Segrellion_25 = {
	name = Rhaegar
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	martial = 5
	diplomacy = 6
	intrigue = 5
	stewardship = 5
	learning = 5
	prowess = 5

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_21
	mother = Segrellion_22

	trait = pure_blooded

	disallow_random_traits = yes

	8190.1.1 = { birth = yes }
}

IAF_Baratheon_Tyana_1 = {
	name = Tyana
	dynasty = dynn_Baratheon
	dynasty_house = house_BaratheonSE
	female = yes
	sexuality = heterosexual

	martial = 4
	diplomacy = 8
	intrigue = 7
	stewardship = 6
	learning = 6
	prowess = 3

	religion = fots_seven
	culture = stormlander_main

	trait = beauty_good_1

	disallow_random_traits = yes

	8176.1.1 = { birth = yes }
}

Segrellion_26 = {
	name = Elys
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	martial = 5
	diplomacy = 6
	intrigue = 5
	stewardship = 5
	learning = 5
	prowess = 5

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_21
	mother = IAF_Baratheon_Tyana_1

	trait = pure_blooded

	disallow_random_traits = yes

	8197.1.1 = { birth = yes }
}

Segrellion_27 = {
	name = Maelys
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	martial = 5
	diplomacy = 5
	intrigue = 5
	stewardship = 5
	learning = 5
	prowess = 5

	religion = valyrian_pan_freehold
	culture = high_valyrian

	father = Segrellion_21
	mother = IAF_Baratheon_Tyana_1

	trait = pure_blooded

	disallow_random_traits = yes

	8199.1.1 = { birth = yes }
}
