############################
### Ancient Segrellion Line
### From House Santeryon to the Braavosi generation
###
### AGOT calendar convention:
### 8000 = 0 AC, so BC dates are represented as 8000 - BC year.
############################

# =========================================================
# HOUSE SANTERYON
# One of the greatest dragonlord families of Old Valyria.
# Orios is Naeryan's son, but founds an entirely separate
# dynasty rather than a cadet house for gameplay purposes.
# =========================================================

Santeryon_Naeryan = {
	name = Naeryan
	dynasty = dynn_Santeryon
	dynasty_house = house_Santeryon
	sexuality = heterosexual

	martial = 10
	diplomacy = 18
	intrigue = 14
	stewardship = 18
	learning = 13
	prowess = 10

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = arrogant
	trait = ambitious
	trait = vengeful
	trait = stubborn
	trait = education_diplomacy_4

	disallow_random_traits = yes

	7570.1.1 = { birth = yes }
	7630.1.1 = { death = yes }
}

# Identity and exact Forty-Families house deliberately remain open.
# The character exists so Orios' maternal line and marriage history are real.
Segrellion_Orios_Wife = {
	name = "Unknown"
	female = yes
	sexuality = heterosexual

	martial = 6
	diplomacy = 13
	intrigue = 8
	stewardship = 13
	learning = 11
	prowess = 4

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = patient
	trait = calm
	trait = honest
	trait = intellect_good_2
	trait = education_diplomacy_3

	disallow_random_traits = yes

	7600.1.1 = { birth = yes }
	7655.1.1 = { death = yes }
}

# =========================================================
# FOUNDATION OF HOUSE SEGRELLION
# =========================================================

Segrellion_Orios = {
	name = Orios
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Santeryon_Naeryan

	martial = 14
	diplomacy = 10
	intrigue = 11
	stewardship = 11
	learning = 18
	prowess = 14

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = ambitious
	trait = brave
	trait = stubborn
	trait = wrathful
	trait = curious
	trait = education_learning_4

	disallow_random_traits = yes

	7595.1.1 = { birth = yes }
	7618.1.1 = { add_spouse = Segrellion_Orios_Wife }
	7660.1.1 = { death = yes }
}

Segrellion_Vaenaryon = {
	name = Vaenaryon
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Orios
	mother = Segrellion_Orios_Wife

	martial = 8
	diplomacy = 10
	intrigue = 9
	stewardship = 18
	learning = 18
	prowess = 8

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = diligent
	trait = patient
	trait = ambitious
	trait = intellect_good_3
	trait = education_learning_4

	disallow_random_traits = yes

	7622.1.1 = { birth = yes }
	7690.1.1 = { death = yes }
}

# =========================================================
# LOST GENERATIONS
# =========================================================

Segrellion_Aelyx_Ancient = {
	name = Aelyx
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Vaenaryon

	martial = 7
	diplomacy = 9
	intrigue = 10
	stewardship = 18
	learning = 14
	prowess = 6

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = patient
	trait = greedy
	trait = diligent
	trait = paranoid
	trait = education_stewardship_4

	disallow_random_traits = yes

	7650.1.1 = { birth = yes }
	7713.1.1 = { death = yes }
}

Segrellion_Maerion_Ancient = {
	name = Maerion
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Aelyx_Ancient

	martial = 7
	diplomacy = 18
	intrigue = 13
	stewardship = 14
	learning = 9
	prowess = 6

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = gregarious
	trait = deceitful
	trait = ambitious
	trait = cynical
	trait = education_diplomacy_4

	disallow_random_traits = yes

	7679.1.1 = { birth = yes }
	7741.1.1 = { death = yes }
}

Segrellion_Rhaegor_Ancient = {
	name = Rhaegor
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Maerion_Ancient

	martial = 8
	diplomacy = 8
	intrigue = 14
	stewardship = 11
	learning = 18
	prowess = 7

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = callous
	trait = diligent
	trait = paranoid
	trait = intellect_good_2
	trait = education_learning_4

	disallow_random_traits = yes

	7708.1.1 = { birth = yes }
	7770.1.1 = { death = yes }
}

Segrellion_Vaegon_Ancient = {
	name = Vaegon
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Rhaegor_Ancient

	martial = 9
	diplomacy = 18
	intrigue = 10
	stewardship = 14
	learning = 9
	prowess = 8

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = arrogant
	trait = ambitious
	trait = gregarious
	trait = beauty_good_1
	trait = education_diplomacy_4

	disallow_random_traits = yes

	7738.1.1 = { birth = yes }
	7800.1.1 = { death = yes }
}

Segrellion_Daerion_Ancient = {
	name = Daerion
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Vaegon_Ancient

	martial = 8
	diplomacy = 9
	intrigue = 14
	stewardship = 18
	learning = 11
	prowess = 7

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = temperate
	trait = patient
	trait = paranoid
	trait = diligent
	trait = education_stewardship_4

	disallow_random_traits = yes

	7767.1.1 = { birth = yes }
	7828.1.1 = { death = yes }
}

Segrellion_Aenarion_Dragon_Thief = {
	name = Aenarion
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Daerion_Ancient

	martial = 14
	diplomacy = 8
	intrigue = 14
	stewardship = 7
	learning = 10
	prowess = 14

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = ambitious
	trait = brave
	trait = arrogant
	trait = impatient
	trait = education_martial_4

	disallow_random_traits = yes

	7795.1.1 = { birth = yes }

	7819.1.1 = {
		give_nickname = nick_segrellion_the_dragon_thief
	}

	7852.1.1 = { death = yes }
}

Segrellion_Aeraxes_Ancient = {
	name = Aeraxes
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Aenarion_Dragon_Thief

	martial = 8
	diplomacy = 9
	intrigue = 11
	stewardship = 14
	learning = 10
	prowess = 8

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = compassionate
	trait = paranoid
	trait = patient
	trait = brave
	trait = education_stewardship_4

	disallow_random_traits = yes

	7819.1.1 = { birth = yes }
	7852.1.1 = { death = yes }
}

# =========================================================
# THE EXILES
# =========================================================

Segrellion_Vhalyrax_Ancient = {
	name = Vhalyrax
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Aeraxes_Ancient

	martial = 18
	diplomacy = 14
	intrigue = 9
	stewardship = 10
	learning = 9
	prowess = 18

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = brave
	trait = ambitious
	trait = arrogant
	trait = gregarious
	trait = physique_good_2
	trait = education_martial_4

	disallow_random_traits = yes

	7838.1.1 = { birth = yes }
	7862.1.1 = { add_spouse = Segrellion_Jaecaella_Ancient }
	7890.1.1 = { death = yes }
}

Segrellion_Jaecaella_Ancient = {
	name = Jaecaella
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	female = yes
	sexuality = heterosexual

	father = Segrellion_Aeraxes_Ancient

	martial = 10
	diplomacy = 11
	intrigue = 8
	stewardship = 14
	learning = 9
	prowess = 7

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = patient
	trait = brave
	trait = temperate
	trait = honest
	trait = education_stewardship_3

	disallow_random_traits = yes

	7840.1.1 = { birth = yes }
	7890.1.1 = { death = yes }
}

# =========================================================
# VALEGAR / DRAGONPOINT GENERATION
# =========================================================

Segrellion_Valegar_Ancient = {
	name = Valegar
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Vhalyrax_Ancient
	mother = Segrellion_Jaecaella_Ancient

	martial = 9
	diplomacy = 14
	intrigue = 14
	stewardship = 18
	learning = 11
	prowess = 8

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = patient
	trait = diligent
	trait = paranoid
	trait = temperate
	trait = education_stewardship_4

	disallow_random_traits = yes

	7870.1.1 = { birth = yes }
	7891.1.1 = { add_spouse = Segrellion_Rhalla_Ancient }
	7893.1.1 = { add_spouse = Segrellion_Naela_Ancient }
	7928.1.1 = { death = yes }
}

Segrellion_Rhalla_Ancient = {
	name = Rhalla
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	female = yes
	sexuality = heterosexual

	father = Segrellion_Vhalyrax_Ancient
	mother = Segrellion_Jaecaella_Ancient

	martial = 11
	diplomacy = 10
	intrigue = 8
	stewardship = 13
	learning = 9
	prowess = 8

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = stubborn
	trait = diligent
	trait = brave
	trait = compassionate
	trait = education_stewardship_3

	disallow_random_traits = yes

	7872.1.1 = { birth = yes }
	7926.1.1 = { death = yes }
}

Segrellion_Naela_Ancient = {
	name = Naela
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	female = yes
	sexuality = heterosexual

	father = Segrellion_Vhalyrax_Ancient
	mother = Segrellion_Jaecaella_Ancient

	martial = 6
	diplomacy = 13
	intrigue = 9
	stewardship = 12
	learning = 12
	prowess = 5

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = patient
	trait = gregarious
	trait = intellect_good_2
	trait = curious
	trait = education_diplomacy_3

	disallow_random_traits = yes

	7874.1.1 = { birth = yes }
	7927.1.1 = { death = yes }
}

# =========================================================
# MAIN DRAGONPOINT LINE
# =========================================================

Segrellion_Arlyon_Ancient = {
	name = Arlyon
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Valegar_Ancient
	mother = Segrellion_Rhalla_Ancient

	martial = 18
	diplomacy = 11
	intrigue = 7
	stewardship = 10
	learning = 9
	prowess = 18

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = brave
	trait = just
	trait = diligent
	trait = stubborn
	trait = physique_good_2
	trait = education_martial_4

	disallow_random_traits = yes

	7895.1.1 = { birth = yes }
	7916.1.1 = { add_spouse = Segrellion_Baela_Ancient }
	7960.1.1 = { death = yes }
}

Segrellion_Baela_Ancient = {
	name = Baela
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	female = yes
	sexuality = heterosexual

	father = Segrellion_Valegar_Ancient
	mother = Segrellion_Naela_Ancient

	martial = 5
	diplomacy = 12
	intrigue = 7
	stewardship = 11
	learning = 9
	prowess = 4

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = compassionate
	trait = patient
	trait = temperate
	trait = calm
	trait = education_diplomacy_3

	disallow_random_traits = yes

	7897.1.1 = { birth = yes }
	7924.1.1 = { death = yes }
}

# =========================================================
# SECONDARY VALEGAR LINE / AELORA
# =========================================================

Segrellion_Jaeherion_Ancient = {
	name = Jaeherion
	dynasty = dynn_Segrellion
	dynasty_house = house_Segrellion
	sexuality = heterosexual

	father = Segrellion_Valegar_Ancient
	mother = Segrellion_Rhalla_Ancient

	martial = 8
	diplomacy = 11
	intrigue = 8
	stewardship = 14
	learning = 10
	prowess = 7

	religion = valyrian_pan_freehold
	culture = high_valyrian

	trait = diligent
	trait = patient
	trait = stubborn
	trait = temperate
	trait = education_stewardship_4

	disallow_random_traits = yes

	7903.1.1 = { birth = yes }
